"category","rating","lat","name","phone","city_id","avgprice","office_hours","shop_id","address","city_name","lng","category_id"
"按摩","3.5","13.704404","泰拳","Telephone","1","null","20:00-23:00周二至周日","1000","asiatique河边码头夜市","曼谷","100.504206","1"
"按摩","4.0","13.70417","Muay Thai Live泰拳剧场","+66-2-1085999","1","null","20:00-21:30，周一休息","1001","2194CharoenkrungRoad|TheStageatAsiatiqueTheRiverfront","曼谷","100.503842","1"
"按摩","3.5","13.72568","蓝比尼泰拳竞技场","+66-2-2514303","1","null","LumpineeBoxingStadium","1002","LumpineeBoxingStadium,No.6RamintraRoad","曼谷","100.547585","1"
"按摩","0.0","13.760968","拉差达慕泰拳馆","+66-2-2810879","1","null","RatchadamnoenBoxingStadium","1003","1,RatchadamnoenNokRd.,PomPrapSattruPhai,Bangkok","曼谷","100.508653","1"
"按摩","0.0","13.728195","班常泰拳馆","+66-2-3913807","1","null","BaanChangThai","1004","38EkamaiSoi10,SukhumvitSoi63","曼谷","100.588219","1"
"按摩","0.0","13.759513","Sor Vorapin泰拳","+66-2-022823551","1","null","SorVorapinGym","1005","13ThKasab,ThCHakraphong","曼谷","100.494835","1"
"按摩","3.5","13.704404","泰拳","Telephone","1","null","20:00-23:00周二至周日","1006","asiatique河边码头夜市","曼谷","100.504206","1"
"按摩","4.0","13.70417","Muay Thai Live泰拳剧场","+66-2-1085999","1","null","20:00-21:30，周一休息","1007","2194CharoenkrungRoad|TheStageatAsiatiqueTheRiverfront","曼谷","100.503842","1"
"按摩","3.5","13.72568","蓝比尼泰拳竞技场","+66-2-2514303","1","null","LumpineeBoxingStadium","1008","LumpineeBoxingStadium,No.6RamintraRoad","曼谷","100.547585","1"
"按摩","4.0","13.704145","Muay Thai Live","+66-2-1085999","1","null","尚无营业时间","1009","CharoenKrungRoadBangKhoLaemBangkok10120泰国","曼谷","100.503854","1"
"按摩","3.5","13.761005","Ratchadamnoen 拳击场","+66-2-022814205","1","null","RatchadamnoenBoxingStadium","1010","ThRatchdamnoenNok","曼谷","100.508751","1"
"按摩","0.0","13.760968","拉差达慕泰拳馆","+66-2-2810879","1","null","RatchadamnoenBoxingStadium","1011","1,RatchadamnoenNokRd.,PomPrapSattruPhai,Bangkok","曼谷","100.508653","1"
"按摩","0.0","13.728195","班常泰拳馆","+66-2-3913807","1","null","BaanChangThai","1012","38EkamaiSoi10,SukhumvitSoi63","曼谷","100.588219","1"
"按摩","0.0","13.759513","Sor Vorapin泰拳","+66-2-022823551","1","null","SorVorapinGym","1013","13ThKasab,ThCHakraphong","曼谷","100.494835","1"
