"category","rating","lat","name","phone","city_id","photos","avgprice","office_hours","shop_id","address","city_name","lng","category_id"
"按摩","4.5","13.740927","Health Land Spa & Massage(Srinakarin)","+66-2-2611110","1","null","236","9:00-24:00","1000","55/5Sukhumvit21Rd.,Khlongtoeinuea,Wattana,Bangkok","曼谷","100.560915","1"
"按摩","4.5","13.721006","Health Land Spa & Massage(Srinakarin)","+66-2-637-8883","1","null","256","周一至周日：9:00-23:00","1001","120NorthSathornRd,Silom,Bangrak,Bangkok","曼谷","100.526459","1"
"按摩","4.5","13.742279","Let's Relax","+66-2-6626935","1","null","276","Let'sRelax","1002","SukhumvitSoi39,NorthKlongton,Wattana","曼谷","100.572648","1"
"按摩","4.0","13.737766","Let's Relax","+66-2-1080555","1","null","157","Let'sRelax","1003","6thFloorHollywoodTerminal21Shoppingmall2,88SukhumvitSoi19SukhumvitRoadNorthKlongtoei,Wattana","曼谷","100.560669","1"
"按摩","4.5","13.745299","Hello Kitty餐厅及按摩馆","+66-2-26369000","1","null","null","SanrioHelloKittyHouse","1004","37/6พระรามที่1,PathumWan,SiamSquareOne,groundfloor,SiamSquare,Bangkok","曼谷","100.533951","1"
"按摩","4.0","13.74732609","Montra Health & Spa","02-252-5562","1","null","null","10:30-21:30","1005","曼谷帕图万地区仑披尼地区Ratchadamri路中央世界广场B区","曼谷","100.5399257","1"
"按摩","4.0","13.72643430852867","Health Land Spa & Massage (Srinakarin)","Telephone","1","null","null","尚无营业时间","1006","70/21Moo2,SirnakarinRd.Nongbon,Phawat,Bangkok","曼谷","100.52493498468635","1"
"按摩","4.0","13.741527","Diora静","+66-2-6521112","1","null","250","DioraLangsuan","1007","เข้าซอยหลังสวนตรงไป100เมตรอยู่ด้านขวาติดกับเซเว่น/36SoiLangsuan,Lumpini,Chidlom,Bangkok10330","曼谷","100.543358","1"
"按摩","4.0","13.731677564042137","Let’s Relax","Telephone","1","null","null","尚无营业时间","1008","KhwaengMahaPhruttharamThanonRamaIV","曼谷","100.52789046665703","1"
"按摩","4.5","13.760963831543421","Bua Sabai","+66-2-6449711","1","null","null","9:00-23:00","1009","3/1RangnamRoad,Phayathai,Ratchathewi,Bangkok","曼谷","100.5379173477439","1"
"按摩","4.5","13.740683","The Oasis Spa","66 (0) 2262 2122","1","null","null","尚无营业时间","1010","64Sukhumvit31Road,SoiSawasdee,Wattana,Bangkok","曼谷","100.568298","1"
"按摩","3.5","13.751516","Reborn Spa and Massage","+66-2-6135533","1","null","null","尚无营业时间","1011","2/4PetchburiSoi15,PetchburiRd,,PetchburiRd,Nextto,6Soi15,PetchburiRd","曼谷","100.536854","1"
